tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2026-1039,Monterrey,Hard,28,500,O,20260824,1,220704,,,Clara Tauson,R,182,DEN,23.674,42,1184,213887,,WC,Renata Zarazua,R,160,MEX,28.898,71,957,3-6 6-3 6-0,3,R32,102,11,6,72,41,32,12,12,2,5,0,2,75,53,30,8,12,7,13
2026-1039,Monterrey,Hard,28,500,O,20260824,2,220716,,,Oleksandra Oliynykova,R,170,UKR,25.637,46,1159,210886,,,Mayar Sherif,R,180,EGY,30.303,51,1105,6-3 6-4,3,R32,104,1,3,64,44,30,10,9,2,3,2,2,74,51,32,10,10,7,11
2026-1039,Monterrey,Hard,28,500,O,20260824,3,220348,,,Diane Parry,R,170,FRA,23.978,50,1113,202499,6,,Donna Vekic,R,179,CRO,30.155,36,1278,6-7(5) 6-4 6-1,3,R32,136,8,3,89,48,40,24,14,2,2,7,10,100,55,41,19,15,4,8
2026-1039,Monterrey,Hard,28,500,O,20260824,4,219917,,WC,Alycia Parks,R,185,USA,25.645,89,846,238075,,,Petra Marcinko,R,,CRO,20.720,73,954,2-6 6-4 6-4,3,R32,129,7,10,95,45,31,23,14,3,8,4,8,86,47,31,20,14,5,10
2026-1039,Monterrey,Hard,28,500,O,20260824,5,221237,,Q,Maria Timofeeva,R,167,UZB,22.765,92,814,201533,,,Shuai Zhang,R,177,CHN,37.588,53,1085,6-1 6-3,3,R32,66,4,5,53,23,19,14,8,5,6,0,3,52,39,19,5,8,5,10
2026-1039,Monterrey,Hard,28,500,O,20260824,6,215983,5,,Ann Li,R,170,USA,26.160,30,1518,215785,,,Camila Osorio,R,162,COL,24.671,58,1023,6-1 6-2,3,R32,65,5,4,54,33,25,8,8,7,9,1,9,48,26,15,4,7,6,12
2026-1039,Monterrey,Hard,28,500,O,20260824,7,213710,8,,Cristina Bucsa,R,,ESP,28.643,40,1224,214388,,,Anna Bondar,R,175,HUN,29.243,70,961,6-4 6-3,3,R32,92,5,3,50,27,22,15,9,1,1,3,4,66,28,20,20,10,5,8
2026-1039,Monterrey,Hard,28,500,O,20260824,8,221307,,Q,Darja Vidmanova,R,,CZE,23.622,90,839,214040,,,Kimberly Birrell,R,170,AUS,28.320,69,974,7-6(2) 6-3,3,R32,107,3,1,65,37,24,15,10,1,4,3,10,76,44,26,11,11,6,11
2026-1039,Monterrey,Hard,28,500,O,20260824,9,223360,,,Nikola Bartunkova,R,,CZE,20.493,38,1237,222045,,,Antonia Ruzic,R,,CRO,23.592,81,894,6-4 6-3,3,R32,90,3,3,58,30,21,16,9,1,2,0,3,60,40,25,8,10,2,6
2026-1039,Monterrey,Hard,28,500,O,20260824,10,222145,7,,Janice Tjen,R,,INA,24.301,35,1293,215035,,WC,Dayana Yastremska,R,175,UKR,26.275,112,692,2-6 6-3 7-6(5),3,R32,137,12,5,99,60,42,18,15,5,10,4,8,89,57,39,12,14,4,8
2026-1039,Monterrey,Hard,28,500,O,20260824,11,263857,,,Yuliia Starodubtseva,R,172,UKR,26.516,74,953,260172,,,Lilli Tagger,,,AUT,18.516,48,1141,6-3 6-4,3,R32,101,1,0,47,22,16,14,9,0,2,0,5,67,37,21,14,10,5,10
2026-1039,Monterrey,Hard,28,500,O,20260824,12,215910,,LL,Panna Udvardy,R,170,HUN,27.904,76,941,233741,,Q,Maya Joint,R,,AUS,20.356,75,951,7-6(5) 6-1,3,R32,95,7,3,65,39,31,8,9,3,5,1,5,67,39,22,12,10,5,10
2026-1039,Monterrey,Hard,28,500,O,20260824,14,220348,,,Diane Parry,R,170,FRA,23.978,50,1113,220716,,,Oleksandra Oliynykova,R,170,UKR,25.637,46,1159,6-4 7-6(3),3,R16,116,2,3,67,40,23,11,11,0,5,1,1,75,44,22,13,11,6,12
2026-1039,Monterrey,Hard,28,500,O,20260824,19,263857,,,Yuliia Starodubtseva,R,172,UKR,26.516,74,953,222145,7,,Janice Tjen,R,,INA,24.301,35,1293,6-4 6-3,3,R16,111,5,2,69,38,26,16,9,5,6,0,3,60,37,22,12,10,1,5
2026-1039,Monterrey,Hard,28,500,O,20260824,15,219917,,WC,Alycia Parks,R,185,USA,25.645,89,846,216081,3,,Maja Chwalinska,L,164,POL,24.868,21,2037,3-6 6-2 6-2,3,R16,109,10,7,80,37,27,23,13,0,2,1,3,61,41,27,11,12,2,6
2026-1039,Monterrey,Hard,28,500,O,20260824,16,215983,5,,Ann Li,R,170,USA,26.160,30,1518,221237,,Q,Maria Timofeeva,R,167,UZB,22.765,92,814,W/O,3,R16,0,,,,,,,,,,,,,,,,,,
2026-1039,Monterrey,Hard,28,500,O,20260824,17,221307,,Q,Darja Vidmanova,R,,CZE,23.622,90,839,213710,8,,Cristina Bucsa,R,,ESP,28.643,40,1224,6-4 7-5,3,R16,103,4,5,61,29,20,11,11,2,7,4,5,71,44,22,9,11,5,12
2026-1039,Monterrey,Hard,28,500,O,20260824,18,223360,,,Nikola Bartunkova,R,,CZE,20.493,38,1237,215314,,LL,En Shuo Liang,,,TPE,25.894,306,,6-7(4) 7-5 6-4,3,R16,163,7,5,106,55,41,32,17,2,4,2,8,117,65,41,30,17,5,9
2026-1039,Monterrey,Hard,28,500,O,20260824,20,210722,2,,Elise Mertens,R,179,BEL,30.768,24,1870,215910,,LL,Panna Udvardy,R,170,HUN,27.904,76,941,6-1 4-6 6-3,3,R16,114,7,6,79,49,38,15,13,1,3,4,3,72,42,29,11,13,2,7
2026-1039,Monterrey,Hard,28,500,O,20260824,13,220704,,,Clara Tauson,R,182,DEN,23.674,42,1184,206420,1,,Ekaterina Alexandrova,R,175,RUS,31.773,19,2186,7-6(6) 4-6 6-3,3,R16,148,6,8,105,58,44,26,16,3,4,11,10,109,67,51,19,15,8,9
