tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,source_file,retired,defaulted,winner_unranked,loser_unranked,has_serve_stats
2011-339,Brisbane,Hard,32.0,250,O,2011-01-02,2.0,B678,,,Michael Berrer,L,193.0,GER,30.505,58.0,835.0,SC56,,,Dudi Sela,R,175.0,ISR,25.747,75.0,643.0,1-6 7-6(3) 6-2,3,R32,152.0,9.0,3.0,99.0,54.0,34.0,28.0,13.0,8.0,10.0,16.0,4.0,103.0,59.0,42.0,20.0,14.0,3.0,5.0,2011.csv,False,False,False,False,True
2011-339,Brisbane,Hard,32.0,250,O,2011-01-02,1.0,SA49,1.0,,Robin Soderling,R,193.0,SWE,26.385,5.0,5580.0,H940,,Q,Ryan Harrison,R,185.0,USA,18.656,173.0,309.0,6-2 6-4,3,R32,66.0,8.0,3.0,52.0,32.0,26.0,13.0,9.0,1.0,1.0,4.0,1.0,50.0,27.0,16.0,12.0,9.0,1.0,4.0,2011.csv,False,False,False,False,True
2011-339,Brisbane,Hard,32.0,250,O,2011-01-02,31.0,SA49,1.0,,Robin Soderling,R,193.0,SWE,26.385,5.0,5580.0,R485,2.0,,Andy Roddick,R,188.0,USA,28.342,8.0,3665.0,6-3 7-5,3,F,95.0,16.0,2.0,54.0,39.0,35.0,9.0,11.0,0.0,0.0,12.0,1.0,67.0,44.0,33.0,9.0,10.0,8.0,10.0,2011.csv,False,False,False,False,True
2011-339,Brisbane,Hard,32.0,250,O,2011-01-02,30.0,R485,2.0,,Andy Roddick,R,188.0,USA,28.342,8.0,3665.0,A678,,,Kevin Anderson,R,203.0,RSA,24.627,61.0,813.0,6-2 4-6 6-2,3,SF,113.0,15.0,1.0,70.0,47.0,41.0,9.0,13.0,0.0,1.0,13.0,4.0,82.0,53.0,33.0,16.0,13.0,5.0,9.0,2011.csv,False,False,False,False,True
2011-339,Brisbane,Hard,32.0,250,O,2011-01-02,29.0,SA49,1.0,,Robin Soderling,R,193.0,SWE,26.385,5.0,5580.0,S694,,,Radek Stepanek,R,185.0,CZE,32.099,62.0,795.0,6-3 7-5,3,SF,82.0,7.0,1.0,55.0,36.0,31.0,12.0,11.0,0.0,1.0,9.0,3.0,64.0,39.0,27.0,9.0,10.0,2.0,5.0,2011.csv,False,False,False,False,True
2011-339,Brisbane,Hard,32.0,250,O,2011-01-02,28.0,R485,2.0,,Andy Roddick,R,188.0,USA,28.342,8.0,3665.0,B837,5.0,,Marcos Baghdatis,R,178.0,CYP,25.544,20.0,1785.0,6-2 6-3,3,QF,74.0,7.0,0.0,48.0,31.0,24.0,10.0,9.0,3.0,4.0,3.0,0.0,49.0,19.0,15.0,10.0,8.0,4.0,8.0,2011.csv,False,False,False,False,True
2011-339,Brisbane,Hard,32.0,250,O,2011-01-02,27.0,A678,,,Kevin Anderson,R,203.0,RSA,24.627,61.0,813.0,G725,,,Santiago Giraldo,R,188.0,COL,23.099,64.0,785.0,2-6 6-3 6-4,3,QF,114.0,12.0,3.0,82.0,54.0,41.0,10.0,14.0,6.0,10.0,3.0,1.0,70.0,46.0,34.0,11.0,13.0,3.0,7.0,2011.csv,False,False,False,False,True
2011-339,Brisbane,Hard,32.0,250,O,2011-01-02,26.0,S694,,,Radek Stepanek,R,185.0,CZE,32.099,62.0,795.0,MB02,7.0,,Florian Mayer,R,191.0,GER,27.244,37.0,1128.0,6-3 6-3,3,QF,83.0,3.0,0.0,50.0,24.0,20.0,16.0,9.0,1.0,2.0,1.0,2.0,71.0,43.0,27.0,11.0,9.0,9.0,13.0,2011.csv,False,False,False,False,True
2011-339,Brisbane,Hard,32.0,250,O,2011-01-02,25.0,SA49,1.0,,Robin Soderling,R,193.0,SWE,26.385,5.0,5580.0,E690,,Q,Matthew Ebden,R,188.0,AUS,23.102,196.0,263.0,6-3 6-2,3,QF,72.0,9.0,3.0,55.0,39.0,30.0,7.0,9.0,0.0,0.0,5.0,3.0,60.0,39.0,25.0,9.0,8.0,3.0,6.0,2011.csv,False,False,False,False,True
2011-339,Brisbane,Hard,32.0,250,O,2011-01-02,24.0,R485,2.0,,Andy Roddick,R,188.0,USA,28.342,8.0,3665.0,D801,,,Alexandr Dolgopolov,R,180.0,UKR,22.152,48.0,940.0,6-4 6-1,3,R16,57.0,15.0,1.0,42.0,30.0,26.0,8.0,9.0,2.0,3.0,7.0,3.0,56.0,33.0,21.0,9.0,8.0,7.0,11.0,2011.csv,False,False,False,False,True
2011-339,Brisbane,Hard,32.0,250,O,2011-01-02,23.0,B837,5.0,,Marcos Baghdatis,R,178.0,CYP,25.544,20.0,1785.0,K540,,,Lukasz Kubot,R,191.0,POL,28.632,70.0,695.0,6-2 6-2,3,R16,65.0,5.0,1.0,47.0,26.0,19.0,12.0,8.0,3.0,4.0,0.0,4.0,49.0,26.0,13.0,8.0,8.0,4.0,9.0,2011.csv,False,False,False,False,True
2011-339,Brisbane,Hard,32.0,250,O,2011-01-02,22.0,G725,,,Santiago Giraldo,R,188.0,COL,23.099,64.0,785.0,B896,,,Benjamin Becker,R,178.0,GER,29.547,53.0,877.0,6-3 6-4,3,R16,78.0,2.0,0.0,73.0,52.0,36.0,13.0,10.0,6.0,6.0,7.0,0.0,43.0,26.0,21.0,10.0,9.0,0.0,2.0,2011.csv,False,False,False,False,True
2011-339,Brisbane,Hard,32.0,250,O,2011-01-02,21.0,A678,,,Kevin Anderson,R,203.0,RSA,24.627,61.0,813.0,L397,6.0,,Feliciano Lopez,L,188.0,ESP,29.284,32.0,1300.0,6-3 6-1,3,R16,56.0,15.0,1.0,38.0,27.0,24.0,8.0,8.0,0.0,0.0,6.0,0.0,53.0,38.0,22.0,6.0,8.0,5.0,9.0,2011.csv,False,False,False,False,True
2011-339,Brisbane,Hard,32.0,250,O,2011-01-02,20.0,MB02,7.0,,Florian Mayer,R,191.0,GER,27.244,37.0,1128.0,BE90,,Q,Ricardas Berankis,R,175.0,LTU,20.534,87.0,587.0,6-4 4-6 6-4,3,R16,131.0,4.0,1.0,83.0,52.0,33.0,15.0,15.0,3.0,9.0,6.0,6.0,109.0,56.0,38.0,20.0,15.0,15.0,22.0,2011.csv,False,False,False,False,True
2011-339,Brisbane,Hard,32.0,250,O,2011-01-02,19.0,S694,,,Radek Stepanek,R,185.0,CZE,32.099,62.0,795.0,F339,4.0,,Mardy Fish,R,188.0,USA,29.065,16.0,1991.0,6-3 6-1,3,R16,78.0,3.0,2.0,45.0,32.0,28.0,6.0,8.0,3.0,3.0,9.0,2.0,60.0,40.0,23.0,6.0,8.0,6.0,10.0,2011.csv,False,False,False,False,True
2011-339,Brisbane,Hard,32.0,250,O,2011-01-02,3.0,E690,,Q,Matthew Ebden,R,188.0,AUS,23.102,196.0,263.0,MH30,,WC,John Millman,R,183.0,AUS,21.552,204.0,243.0,4-6 6-2 6-4,3,R32,104.0,12.0,1.0,85.0,63.0,46.0,9.0,14.0,1.0,3.0,4.0,3.0,76.0,58.0,42.0,6.0,14.0,4.0,8.0,2011.csv,False,False,False,False,True
2011-339,Brisbane,Hard,32.0,250,O,2011-01-02,17.0,SA49,1.0,,Robin Soderling,R,193.0,SWE,26.385,5.0,5580.0,B678,,,Michael Berrer,L,193.0,GER,30.505,58.0,835.0,6-3 7-6(7),3,R16,96.0,9.0,1.0,74.0,51.0,40.0,13.0,11.0,2.0,2.0,8.0,1.0,68.0,43.0,32.0,14.0,10.0,2.0,3.0,2011.csv,False,False,False,False,True
2011-339,Brisbane,Hard,32.0,250,O,2011-01-02,4.0,I165,8.0,,Denis Istomin,R,185.0,UZB,24.32,40.0,1031.0,D776,,,Thiemo de Bakker,R,193.0,NED,22.286,43.0,975.0,7-6(5) 6-4,3,R32,93.0,6.0,1.0,63.0,43.0,33.0,16.0,11.0,2.0,2.0,10.0,1.0,72.0,43.0,31.0,17.0,11.0,2.0,3.0,2011.csv,False,False,False,False,True
2011-339,Brisbane,Hard,32.0,250,O,2011-01-02,5.0,F339,4.0,,Mardy Fish,R,188.0,USA,29.065,16.0,1991.0,ME82,,Q,Adrian Mannarino,L,180.0,FRA,22.511,83.0,600.0,6-1 6-4,3,R32,79.0,11.0,0.0,51.0,28.0,23.0,16.0,9.0,1.0,1.0,1.0,6.0,68.0,37.0,24.0,11.0,8.0,3.0,6.0,2011.csv,False,False,False,False,True
2011-339,Brisbane,Hard,32.0,250,O,2011-01-02,6.0,S694,,,Radek Stepanek,R,185.0,CZE,32.099,62.0,795.0,K839,,,Tobias Kamke,R,178.0,GER,24.619,67.0,724.0,5-7 6-1 6-4,3,R32,124.0,7.0,3.0,80.0,47.0,37.0,16.0,15.0,2.0,5.0,4.0,7.0,87.0,50.0,33.0,19.0,14.0,5.0,10.0,2011.csv,False,False,False,False,True
