tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,source_file,retired,defaulted,winner_unranked,loser_unranked,has_serve_stats
2011-1049,Auckland,Hard,32,I,,2011-01-03,15,201435.0,,WC,Kateryna Bondarenko,R,175.0,UKR,24.406,99.0,677.0,200617.0,6.0,,Kimiko Date Krumm,R,163.0,JPN,40.266,51.0,1180.0,6-4 6-3,3,R32,,3.0,7.0,80.0,51.0,32.0,14.0,,5.0,7.0,0.0,5.0,48.0,26.0,16.0,9.0,,4.0,8.0,2011_wta.csv,False,False,False,False,False
2011-1049,Auckland,Hard,32,I,,2011-01-03,2,201586.0,,Q,Heather Watson,R,170.0,GBR,18.626,176.0,335.0,201598.0,,Q,Noppawan Lertcheewakarn,R,167.0,THA,19.127,187.0,317.0,6-1 6-1,3,R32,,2.0,0.0,41.0,31.0,22.0,7.0,,0.0,0.0,2.0,7.0,50.0,31.0,17.0,5.0,,5.0,10.0,2011_wta.csv,False,False,False,False,False
2011-1049,Auckland,Hard,32,I,,2011-01-03,3,201397.0,,,Shuai Peng,R,173.0,CHN,24.986,72.0,872.0,201596.0,,,Johanna Larsson,R,174.0,SWE,22.38,69.0,899.0,6-1 6-3,3,R32,,1.0,0.0,50.0,38.0,25.0,6.0,,2.0,4.0,1.0,1.0,49.0,27.0,11.0,10.0,,3.0,9.0,2011_wta.csv,False,False,False,False,False
2011-1049,Auckland,Hard,32,I,,2011-01-03,4,201320.0,3.0,,Svetlana Kuznetsova,R,174.0,RUS,25.52,27.0,2221.0,201678.0,,WC,Sacha Jones,R,,AUS,20.154,253.0,212.0,6-4 6-2,3,R32,,1.0,3.0,67.0,38.0,24.0,16.0,,7.0,9.0,0.0,10.0,60.0,33.0,22.0,6.0,,3.0,8.0,2011_wta.csv,False,False,False,False,False
2011-1049,Auckland,Hard,32,I,,2011-01-03,5,201455.0,7.0,,Elena Vesnina,R,176.0,RUS,24.425,52.0,1140.0,201523.0,,WC,Marina Erakovic,R,174.0,NZL,22.829,333.0,135.0,6-2 6-2,3,R32,,3.0,4.0,54.0,36.0,26.0,10.0,,4.0,5.0,6.0,3.0,53.0,36.0,19.0,6.0,,9.0,13.0,2011_wta.csv,False,False,False,False,False
2011-1049,Auckland,Hard,32,I,,2011-01-03,7,201513.0,,Q,Sabine Lisicki,R,178.0,GER,21.282,175.0,335.0,202413.0,,Q,Florencia Molinero,R,170.0,ARG,22.098,185.0,318.0,6-1 6-3,3,R32,,10.0,1.0,44.0,24.0,21.0,13.0,,2.0,2.0,0.0,1.0,58.0,44.0,22.0,6.0,,5.0,9.0,2011_wta.csv,False,False,False,False,False
2011-1049,Auckland,Hard,32,I,,2011-01-03,8,201518.0,2.0,,Yanina Wickmayer,R,182.0,BEL,21.205,23.0,2450.0,201336.0,,,Dinara Safina,R,185.0,RUS,24.688,63.0,986.0,6-3 6-7(2) 6-1,3,R32,,4.0,2.0,91.0,67.0,48.0,11.0,,2.0,5.0,2.0,4.0,95.0,67.0,36.0,15.0,,4.0,10.0,2011_wta.csv,False,False,False,False,False
2011-1049,Auckland,Hard,32,I,,2011-01-03,9,201339.0,,,Renata Voracova,R,,CZE,27.245,81.0,804.0,201452.0,,,Lourdes Dominguez Lino,R,163.0,ESP,29.761,85.0,772.0,4-6 7-6(8) 6-0,3,R32,,,,,,,,,,,,,,,,,,,,2011_wta.csv,False,False,False,False,False
2011-1049,Auckland,Hard,32,I,,2011-01-03,10,201086.0,,,Greta Arn,R,180.0,HUN,31.727,88.0,755.0,201334.0,,,Zuzana Ondraskova,R,174.0,CZE,30.67,83.0,778.0,6-1 6-0,3,R32,,3.0,1.0,39.0,23.0,16.0,9.0,,0.0,1.0,0.0,2.0,41.0,25.0,8.0,5.0,,1.0,7.0,2011_wta.csv,False,False,False,False,False
2011-1049,Auckland,Hard,32,I,,2011-01-03,11,201387.0,8.0,,Sofia Arvidsson,R,176.0,SWE,26.881,53.0,1137.0,201481.0,,,Tamira Paszek,R,165.0,AUT,20.077,89.0,733.0,6-3 6-1,3,R32,,8.0,0.0,43.0,32.0,22.0,8.0,,0.0,1.0,2.0,3.0,81.0,48.0,20.0,19.0,,16.0,21.0,2011_wta.csv,False,False,False,False,False
