tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,source_file,retired,defaulted,winner_unranked,loser_unranked,has_serve_stats
2026-1039,Monterrey,Hard,28,500,O,2026-08-24,1,220704,,,Clara Tauson,R,182.0,DEN,23.674,42.0,1184,213887,,WC,Renata Zarazua,R,160.0,MEX,28.898,71.0,957.0,3-6 6-3 6-0,3,R32,102,11.0,6.0,72.0,41.0,32.0,12.0,12.0,2.0,5.0,0.0,2.0,75.0,53.0,30.0,8.0,12.0,7.0,13.0,wta_ongoing_tourneys.csv,False,False,False,False,True
2026-1039,Monterrey,Hard,28,500,O,2026-08-24,18,223360,,,Nikola Bartunkova,R,,CZE,20.493,38.0,1237,215314,,LL,En Shuo Liang,U,,TPE,25.894,306.0,0.0,6-7(4) 7-5 6-4,3,R16,163,7.0,5.0,106.0,55.0,41.0,32.0,17.0,2.0,4.0,2.0,8.0,117.0,65.0,41.0,30.0,17.0,5.0,9.0,wta_ongoing_tourneys.csv,False,False,False,False,True
2026-1039,Monterrey,Hard,28,500,O,2026-08-24,17,221307,,Q,Darja Vidmanova,R,,CZE,23.622,90.0,839,213710,8.0,,Cristina Bucsa,R,,ESP,28.643,40.0,1224.0,6-4 7-5,3,R16,103,4.0,5.0,61.0,29.0,20.0,11.0,11.0,2.0,7.0,4.0,5.0,71.0,44.0,22.0,9.0,11.0,5.0,12.0,wta_ongoing_tourneys.csv,False,False,False,False,True
2026-1039,Monterrey,Hard,28,500,O,2026-08-24,15,219917,,WC,Alycia Parks,R,185.0,USA,25.645,89.0,846,216081,3.0,,Maja Chwalinska,L,164.0,POL,24.868,21.0,2037.0,3-6 6-2 6-2,3,R16,109,10.0,7.0,80.0,37.0,27.0,23.0,13.0,0.0,2.0,1.0,3.0,61.0,41.0,27.0,11.0,12.0,2.0,6.0,wta_ongoing_tourneys.csv,False,False,False,False,True
2026-1039,Monterrey,Hard,28,500,O,2026-08-24,19,263857,,,Yuliia Starodubtseva,R,172.0,UKR,26.516,74.0,953,222145,7.0,,Janice Tjen,R,,INA,24.301,35.0,1293.0,6-4 6-3,3,R16,111,5.0,2.0,69.0,38.0,26.0,16.0,9.0,5.0,6.0,0.0,3.0,60.0,37.0,22.0,12.0,10.0,1.0,5.0,wta_ongoing_tourneys.csv,False,False,False,False,True
2026-1039,Monterrey,Hard,28,500,O,2026-08-24,14,220348,,,Diane Parry,R,170.0,FRA,23.978,50.0,1113,220716,,,Oleksandra Oliynykova,R,170.0,UKR,25.637,46.0,1159.0,6-4 7-6(3),3,R16,116,2.0,3.0,67.0,40.0,23.0,11.0,11.0,0.0,5.0,1.0,1.0,75.0,44.0,22.0,13.0,11.0,6.0,12.0,wta_ongoing_tourneys.csv,False,False,False,False,True
2026-1039,Monterrey,Hard,28,500,O,2026-08-24,12,215910,,LL,Panna Udvardy,R,170.0,HUN,27.904,76.0,941,233741,,Q,Maya Joint,R,,AUS,20.356,75.0,951.0,7-6(5) 6-1,3,R32,95,7.0,3.0,65.0,39.0,31.0,8.0,9.0,3.0,5.0,1.0,5.0,67.0,39.0,22.0,12.0,10.0,5.0,10.0,wta_ongoing_tourneys.csv,False,False,False,False,True
2026-1039,Monterrey,Hard,28,500,O,2026-08-24,11,263857,,,Yuliia Starodubtseva,R,172.0,UKR,26.516,74.0,953,260172,,,Lilli Tagger,U,,AUT,18.516,48.0,1141.0,6-3 6-4,3,R32,101,1.0,0.0,47.0,22.0,16.0,14.0,9.0,0.0,2.0,0.0,5.0,67.0,37.0,21.0,14.0,10.0,5.0,10.0,wta_ongoing_tourneys.csv,False,False,False,False,True
2026-1039,Monterrey,Hard,28,500,O,2026-08-24,20,210722,2.0,,Elise Mertens,R,179.0,BEL,30.768,24.0,1870,215910,,LL,Panna Udvardy,R,170.0,HUN,27.904,76.0,941.0,6-1 4-6 6-3,3,R16,114,7.0,6.0,79.0,49.0,38.0,15.0,13.0,1.0,3.0,4.0,3.0,72.0,42.0,29.0,11.0,13.0,2.0,7.0,wta_ongoing_tourneys.csv,False,False,False,False,True
2026-1039,Monterrey,Hard,28,500,O,2026-08-24,10,222145,7.0,,Janice Tjen,R,,INA,24.301,35.0,1293,215035,,WC,Dayana Yastremska,R,175.0,UKR,26.275,112.0,692.0,2-6 6-3 7-6(5),3,R32,137,12.0,5.0,99.0,60.0,42.0,18.0,15.0,5.0,10.0,4.0,8.0,89.0,57.0,39.0,12.0,14.0,4.0,8.0,wta_ongoing_tourneys.csv,False,False,False,False,True
2026-1039,Monterrey,Hard,28,500,O,2026-08-24,8,221307,,Q,Darja Vidmanova,R,,CZE,23.622,90.0,839,214040,,,Kimberly Birrell,R,170.0,AUS,28.32,69.0,974.0,7-6(2) 6-3,3,R32,107,3.0,1.0,65.0,37.0,24.0,15.0,10.0,1.0,4.0,3.0,10.0,76.0,44.0,26.0,11.0,11.0,6.0,11.0,wta_ongoing_tourneys.csv,False,False,False,False,True
2026-1039,Monterrey,Hard,28,500,O,2026-08-24,7,213710,8.0,,Cristina Bucsa,R,,ESP,28.643,40.0,1224,214388,,,Anna Bondar,R,175.0,HUN,29.243,70.0,961.0,6-4 6-3,3,R32,92,5.0,3.0,50.0,27.0,22.0,15.0,9.0,1.0,1.0,3.0,4.0,66.0,28.0,20.0,20.0,10.0,5.0,8.0,wta_ongoing_tourneys.csv,False,False,False,False,True
2026-1039,Monterrey,Hard,28,500,O,2026-08-24,6,215983,5.0,,Ann Li,R,170.0,USA,26.16,30.0,1518,215785,,,Camila Osorio,R,162.0,COL,24.671,58.0,1023.0,6-1 6-2,3,R32,65,5.0,4.0,54.0,33.0,25.0,8.0,8.0,7.0,9.0,1.0,9.0,48.0,26.0,15.0,4.0,7.0,6.0,12.0,wta_ongoing_tourneys.csv,False,False,False,False,True
2026-1039,Monterrey,Hard,28,500,O,2026-08-24,5,221237,,Q,Maria Timofeeva,R,167.0,UZB,22.765,92.0,814,201533,,,Shuai Zhang,R,177.0,CHN,37.588,53.0,1085.0,6-1 6-3,3,R32,66,4.0,5.0,53.0,23.0,19.0,14.0,8.0,5.0,6.0,0.0,3.0,52.0,39.0,19.0,5.0,8.0,5.0,10.0,wta_ongoing_tourneys.csv,False,False,False,False,True
2026-1039,Monterrey,Hard,28,500,O,2026-08-24,4,219917,,WC,Alycia Parks,R,185.0,USA,25.645,89.0,846,238075,,,Petra Marcinko,R,,CRO,20.72,73.0,954.0,2-6 6-4 6-4,3,R32,129,7.0,10.0,95.0,45.0,31.0,23.0,14.0,3.0,8.0,4.0,8.0,86.0,47.0,31.0,20.0,14.0,5.0,10.0,wta_ongoing_tourneys.csv,False,False,False,False,True
2026-1039,Monterrey,Hard,28,500,O,2026-08-24,3,220348,,,Diane Parry,R,170.0,FRA,23.978,50.0,1113,202499,6.0,,Donna Vekic,R,179.0,CRO,30.155,36.0,1278.0,6-7(5) 6-4 6-1,3,R32,136,8.0,3.0,89.0,48.0,40.0,24.0,14.0,2.0,2.0,7.0,10.0,100.0,55.0,41.0,19.0,15.0,4.0,8.0,wta_ongoing_tourneys.csv,False,False,False,False,True
2026-1039,Monterrey,Hard,28,500,O,2026-08-24,2,220716,,,Oleksandra Oliynykova,R,170.0,UKR,25.637,46.0,1159,210886,,,Mayar Sherif,R,180.0,EGY,30.303,51.0,1105.0,6-3 6-4,3,R32,104,1.0,3.0,64.0,44.0,30.0,10.0,9.0,2.0,3.0,2.0,2.0,74.0,51.0,32.0,10.0,10.0,7.0,11.0,wta_ongoing_tourneys.csv,False,False,False,False,True
2026-1039,Monterrey,Hard,28,500,O,2026-08-24,9,223360,,,Nikola Bartunkova,R,,CZE,20.493,38.0,1237,222045,,,Antonia Ruzic,R,,CRO,23.592,81.0,894.0,6-4 6-3,3,R32,90,3.0,3.0,58.0,30.0,21.0,16.0,9.0,1.0,2.0,0.0,3.0,60.0,40.0,25.0,8.0,10.0,2.0,6.0,wta_ongoing_tourneys.csv,False,False,False,False,True
2026-1039,Monterrey,Hard,28,500,O,2026-08-24,13,220704,,,Clara Tauson,R,182.0,DEN,23.674,42.0,1184,206420,1.0,,Ekaterina Alexandrova,R,175.0,RUS,31.773,19.0,2186.0,7-6(6) 4-6 6-3,3,R16,148,6.0,8.0,105.0,58.0,44.0,26.0,16.0,3.0,4.0,11.0,10.0,109.0,67.0,51.0,19.0,15.0,8.0,9.0,wta_ongoing_tourneys.csv,False,False,False,False,True
